Type,Quartier,Price,Area,Rooms,Bedrooms,Bathrooms,Status
Appartement,Founti,1750000,93,3,2,1,Bon état
Appartement,Haut Anza,475000,61,3,2,1,Nouveau
Appartement,Abattoirs,860000,68,3,2,1,Nouveau
Appartement,Abattoirs,960000,120,3,2,N/A,Nouveau
Appartement,Abattoirs,579000,46,3,2,1,Nouveau
Appartement,Abattoirs,640000,80,3,N/A,N/A,Nouveau
Appartement,Abattoirs,980000,75,4,2,1,Nouveau
Appartement,Abattoirs,780000,60,3,2,1,Nouveau
Appartement,Haut Anza,480000,64,3,2,1,Nouveau
Appartement,Haut Founty,1160000,80,3,2,1,Nouveau
Villa,Talborjt,7490000,287,6,5,2,Nouveau
Appartement,Talborjt,2950000,180,5,3,2,Nouveau
Maison,Charaf,2500000,130,5,3,2,Bon état
Appartement,Hay Dakhla,900000,100,4,3,1,Bon état
Appartement,Haut Founty,1251160,80,3,2,1,Nouveau
Appartement,Haut Founty,1183700,80,3,2,2,Nouveau
Appartement,Haut Anza,480000,64,3,2,1,Nouveau
Appartement,Hay Mohammadi,1250000,107,N/A,2,2,N/A
Appartement,Abattoirs,1650000,114,N/A,2,1,N/A
Appartement,Hay Massira,1750000,175,N/A,3,2,N/A
Appartement,Taddart,1800000,151,N/A,2,1,N/A
Villa,Port,2200000,169,N/A,5,3,N/A
Appartement,Hay Mohammadi,2000000,185,N/A,3,2,N/A
Maison,Hay Zaytoun,3200000,98,14,4,6,Bon état
Appartement,Secteur Touristique,3250000,128,3,2,2,Bon état
Appartement,Haut Founty,1284800,82,2,2,1,Nouveau
Villa,Founti,5700000,324,6,4,3,Bon état
Appartement,Assaka,,96,2,2,1,Bon état
Appartement,Hay Mohammadi,1100000,110,3,2,2,Nouveau
Appartement,Abattoirs,1030000,79,3,2,2,Nouveau
Appartement,Ville Nouvelle,7500000,250,6,3,3,Nouveau
Villa,Charaf,3000000,120,7,3,2,Nouveau
Villa,Secteur Touristique,4800000,300,8,5,3,Bon état
Appartement,Haut Anza,475000,61,3,2,1,Nouveau
Appartement,Abattoirs,800000,100,3,N/A,N/A,Nouveau
Appartement,Ville Nouvelle,2650000,100,3,2,2,Nouveau
Maison,Founti,4550000,234,8,5,3,Bon état
Appartement,Hay Houda,890000,81,4,3,2,Nouveau
Appartement,Hay Houda,1012000,92,4,3,2,Nouveau
Appartement,Hay Houda,957000,87,4,3,2,Nouveau
Appartement,Abattoirs,1200000,91,4,3,2,Nouveau
Villa,Founti,4700000,268,N/A,4,3,N/A
Villa,Tikiouine,3200000,292,N/A,4,2,N/A
Appartement,Hay Houda,1400000,79,N/A,2,1,N/A
Villa,Siusse,12780000,644,N/A,6,4,N/A
Appartement,Haut Founty,598880,40,2,1,1,Nouveau
Appartement,Secteur Touristique,2400000,101,5,3,2,Nouveau
Appartement,Amsernate,800000,68,3,2,2,Nouveau
Villa,Hay Mohammadi,4500000,220,5,3,2,Bon état
Villa,Founti,4750000,309,6,5,3,Bon état
Appartement,Hay Houda,850000,93,4,3,1,Bon état
Appartement,Founti,1500000,88,N/A,2,1,N/A
Maison,Founti,2400000,203,12,3,3,Bon état
Appartement,Ville Nouvelle,1600000,83,1,2,1,Bon état
Maison,Taddart,4200000,260,6,4,2,Bon état
Appartement,Tilila,850000,72,3,2,2,Bon état
Appartement,Secteur Touristique,1800000,80,2,1,2,Bon état
Villa,Hay Mohammadi,2960000,264,1,1,1,Nouveau
Appartement,Secteur Touristique,,137,3,2,1,Nouveau
Appartement,Secteur Touristique,2000000,80,2,1,2,Bon état
Appartement,Secteur Touristique,3500000,118,3,2,2,Bon état
Appartement,Secteur Touristique,,138,3,2,2,Bon état
Villa,Hay Mohammadi,4800000,230,6,3,2,Bon état
